Andrii_trial_6
Date:,2020/08/03
Time:,15:46:59
Type:,muscu_imu
Description:,""
Notes:,"Trial1_Flexion"

TRAJECTORIES
100.000000,Hz
,R_shoulder1,,,R_elbow2,,,R_wrist3
Field #,X,Y,Z,X,Y,Z,X,Y,Z
1948,395.441620,601.473450,339.037842,382.298767,432.412628,272.031250,419.851929,255.964523,321.103638
1949,395.553741,602.258606,338.537842,381.779938,432.128143,268.451965,417.382629,254.056778,311.461151
1950,395.575195,603.241455,338.191132,381.046448,431.944366,264.603943,414.972229,252.183243,301.061310
1951,395.668304,604.071533,337.707367,380.248199,431.865570,260.265594,412.681213,250.449753,290.437195
1952,395.774109,605.212158,337.565643,379.196075,431.754242,255.759430,410.450317,248.883377,279.249207
1953,395.817566,605.926514,337.713959,378.213745,431.473053,251.035660,408.348785,247.704300,268.011566
1954,396.130737,606.935547,337.570923,377.491272,431.432159,246.203125,406.377533,246.550919,256.625458
1955,396.375824,607.415588,337.471588,376.526978,431.420685,241.620880,404.450195,246.062714,244.829880
1956,396.491028,607.617859,337.313110,375.841095,431.753418,236.783554,402.570038,245.796646,233.254913
1957,396.756439,607.840332,336.703949,375.341064,432.243439,232.180359,400.594391,245.960312,221.590622
1958,396.755615,607.824951,336.338623,374.847626,432.926422,227.354492,398.746521,246.742020,209.783646
1959,396.836487,607.979492,335.796875,374.222229,433.764648,222.747070,396.831909,247.781830,198.228348
1960,396.891388,608.219666,335.235443,373.694885,434.687897,217.968445,395.311096,249.034760,186.602005
1961,396.961029,608.469238,335.002808,373.116577,435.811951,213.259384,393.532684,251.091156,175.030258
1962,397.163330,608.626709,334.950165,372.784149,436.833832,208.499023,391.884491,253.519455,163.420624
1963,397.160431,608.860352,335.067474,372.497681,438.147766,203.848328,390.420532,256.182068,151.989166
1964,397.553101,609.036560,334.867279,372.358948,439.564911,199.071671,388.873718,259.208710,140.662018
1965,397.982758,609.305847,334.179047,372.376617,441.272644,194.344421,387.193512,262.868530,129.478455
1966,398.179779,609.476624,333.572418,372.106079,442.953186,189.718903,386.024445,266.630951,118.432159
1967,398.241394,609.723389,332.892853,371.898102,444.881256,185.135529,384.619995,270.827179,107.521698
1968,398.576630,609.936401,332.578766,371.800903,446.887024,180.791412,383.294373,275.361053,96.898224
1969,398.820953,610.466370,332.136444,371.630554,449.030853,176.001617,382.272675,280.163818,86.310143
1970,398.974548,610.997498,331.868286,371.659241,451.190216,171.664383,381.357544,285.339111,75.856682
1971,399.008728,611.349915,331.723969,371.973145,453.318298,167.318253,380.440521,290.647247,65.820282
1972,399.404388,611.707397,331.200134,372.152130,455.398712,163.327652,379.573212,296.440521,55.848541
1973,399.923859,612.074890,330.647614,372.794708,457.725952,159.248978,378.953674,302.365356,45.772644
1974,400.179871,612.220398,330.241058,373.336975,460.083923,155.204712,378.473724,308.695343,36.025372
