Marta_trial 1;;;;;;;;;
Date:;29/07/2020;;;;;;;;
Time:;17:13:33;;;;;;;;
Type:;muscu_imu;;;;;;;;
Description:;;;;;;;;;
Notes:;;;;;;;;;
;;;;;;;;;
TRAJECTORIES;;;;;;;;;
100.000000;Hz;;;;;;;;
;R_shoulder1;;;R_elbow2;;;R_wrist3;;
Field #;X;Y;Z;X;Y;Z;X;Y;Z
173;444.146698;190.714279;335.377625;360.635773;44.388020;181.444656;337.421997;-43.925240;62.709286
174;444.443176;190.415283;335.001404;361.299530;47.009640;176.573212;338.036316;-37.168282;54.161839
175;444.453644;189.772888;334.841797;362.112671;49.931240;171.625793;339.146027;-30.227968;46.074249
176;445.053253;188.969193;334.252686;362.887848;52.613880;167.620377;340.030609;-22.650892;38.983330
177;445.476746;188.582077;333.725281;364.025299;55.913464;163.513672;341.708313;-15.336345;32.033489
178;445.727295;188.335556;333.008606;364.996582;58.799152;159.383957;343.355347;-7.936555;25.882778
179;446.064026;188.133804;332.250671;366.024414;61.951035;155.837982;344.943695;-0.493990;19.908026
180;446.354370;188.087067;331.601288;367.091675;65.218315;152.240814;346.820038;6.515544;14.392190
181;446.410187;188.151459;331.382477;368.137146;68.298447;148.926773;348.100861;13.480663;9.248672
182;446.460968;188.352402;330.861603;368.819794;71.462936;145.732407;349.775146;20.207777;4.207557
183;446.695343;188.501923;330.301056;369.758423;74.498756;142.852631;350.907135;26.908672;-0.131169
184;446.991547;188.611404;329.789886;370.288025;77.136292;140.694107;352.068085;33.454205;-3.940559
185;447.060669;188.672165;329.279724;371.028137;80.044365;138.216080;353.482819;39.982037;-7.677254
186;447.040314;188.580368;328.868591;371.862732;82.505302;136.034790;354.966492;46.227180;-11.073281
187;447.142212;188.445435;328.628540;372.495148;84.943993;134.112686;355.848724;52.512611;-13.834027
188;447.126740;188.345276;328.250061;373.233643;87.467415;132.227600;356.916016;58.297184;-16.404284
189;447.145813;188.300323;328.053253;373.663147;89.878189;130.525864;358.265991;63.965332;-18.754759
190;447.117401;188.279465;327.918976;374.419495;92.360794;128.768524;359.228149;69.157768;-20.722822
191;447.058228;188.338608;327.604309;374.952240;94.496719;127.402954;359.899353;74.009804;-22.361387
192;447.023743;188.376709;327.313354;375.286530;96.749023;126.125259;360.524323;78.515091;-23.950468
193;446.978363;188.454681;327.201294;375.228577;98.557037;125.654480;361.308472;82.436455;-25.259178
194;446.783356;188.638580;327.081299;375.555145;100.305016;124.658623;361.646759;86.052879;-26.103920
195;446.614716;188.850113;326.909149;375.488861;101.765068;123.781540;362.011444;89.166626;-26.978849
196;446.376312;189.224762;326.726501;375.488800;103.122406;123.232903;362.008820;91.617287;-27.450119
197;446.432251;190.161545;326.197601;375.461700;104.419243;122.466652;362.149597;93.555191;-27.907139
198;446.225220;190.810867;325.841187;375.297028;105.549332;122.226593;362.175262;94.773178;-28.139942
199;446.069427;191.766754;325.791229;374.649261;106.450127;122.063210;361.876526;95.451591;-28.043465
200;445.923645;192.249756;325.580292;374.407593;107.343338;121.773560;361.353577;95.520149;-27.889225
201;445.546326;192.954056;325.345245;373.804810;107.608154;121.785858;360.974976;95.277260;-27.735456
202;445.369995;193.727936;325.209869;373.125641;107.668175;121.926491;359.799744;94.204353;-27.398745
203;445.029663;194.227356;325.142395;372.222717;107.593712;122.242020;358.812042;92.924210;-26.587307
204;444.693481;194.632797;324.946136;371.311584;107.254196;122.792625;357.760773;91.039909;-26.011335
205;444.420990;195.310760;324.914795;370.273651;106.925491;123.341484;356.346985;88.556564;-25.195688
206;444.144745;195.609543;325.198669;369.325623;106.272316;124.117058;354.440826;85.918648;-23.761280
207;443.938629;195.831512;325.029694;367.841278;105.390579;125.057442;353.064819;82.644676;-22.514542
208;443.424530;196.492676;325.090027;366.578003;104.362183;126.424805;351.213867;79.123581;-20.614975
209;443.233093;197.108292;325.282440;365.303284;103.079391;127.770088;349.066803;75.001892;-18.189129
210;442.968903;198.051743;325.105591;364.050018;101.767273;129.295181;346.979431;70.555565;-15.439382
211;442.702637;199.069016;325.119904;362.585938;100.350883;130.917725;344.747742;65.467606;-12.700233
212;442.653442;199.827606;324.706757;361.162750;98.753838;132.846176;342.663177;60.116341;-9.337365
213;442.327728;201.049347;324.513519;359.590027;97.533951;135.104263;340.258331;54.435886;-5.730685
214;441.902588;202.144577;324.354034;357.623108;95.845695;137.699310;337.862152;48.241711;-2.166858
215;441.435913;203.272034;324.500458;356.255096;94.513443;140.237885;334.918915;42.111561;2.587720
216;441.229828;204.144211;324.533203;354.589722;92.927200;142.832153;332.015442;35.756336;7.554996
217;440.839569;205.217133;324.322540;352.771881;91.106522;146.346695;329.389069;29.424213;12.912550
218;440.342682;206.410248;324.770081;351.281281;89.378090;149.733521;326.704773;23.125206;19.152235
219;439.980225;207.273682;324.930542;349.578186;87.393196;153.627579;324.131775;16.661421;25.745369
220;439.737579;208.180588;324.820709;348.130127;85.440788;157.730423;321.709381;10.400125;33.016579
221;439.029602;209.222198;324.970276;346.516083;83.598587;162.269577;319.380188;4.335295;40.714149
222;438.459473;210.187469;325.379913;345.207886;81.959274;166.944534;316.841095;-1.936592;48.861340
223;438.269836;211.089722;325.490906;344.056366;80.528427;171.914810;314.545502;-8.060925;57.879642
224;437.861542;211.814545;325.453979;342.726715;79.140633;176.936005;312.650726;-13.890581;67.274826
225;437.379395;212.571823;325.815918;341.704712;77.687836;182.492859;310.412689;-19.882374;77.345764
226;436.868103;213.456604;326.058838;340.816315;76.404205;188.026215;308.944824;-25.482674;87.876434
227;436.620453;213.970062;326.210205;339.774292;75.289215;194.494400;307.705139;-30.829695;98.865913
228;436.046600;215.047470;326.672272;339.153992;74.350311;200.964371;306.602722;-36.445538;110.429886
229;435.482269;215.854584;326.819427;338.282654;73.515968;207.516815;305.549133;-41.064487;122.610893
230;435.094269;216.800156;327.194519;337.942352;72.782661;214.156113;304.948242;-46.053024;135.013306
231;434.468231;217.488525;327.763855;337.794861;72.279350;220.764740;304.186890;-50.395222;147.553513
232;433.959106;218.258255;328.290619;337.517822;71.663841;227.581680;304.309631;-53.788628;160.770309
233;433.552338;218.748764;328.462280;337.576019;71.409775;234.611328;304.481201;-57.692806;173.724686
234;432.724518;219.033859;329.252686;337.803253;71.388206;241.729111;305.158539;-60.638042;186.963470
235;432.109741;219.466583;329.794189;338.062378;71.202888;248.363708;306.068207;-63.296932;200.222946
236;431.687683;219.457062;330.267273;338.631348;71.367455;255.262543;307.617645;-65.466507;213.232162
237;431.056458;219.325974;331.134644;339.201050;71.586365;262.147034;309.503540;-67.246460;226.051483
238;430.257019;219.341888;331.836395;339.980255;71.906128;268.596558;311.137604;-68.704102;239.400604
239;429.541138;219.224442;332.663147;340.658295;72.401512;275.164246;313.370209;-69.483215;252.479065
240;428.794891;218.915634;333.404266;341.672852;72.885155;281.547852;316.043732;-69.941910;264.939423
241;428.421021;218.618561;333.860382;343.095520;73.626007;287.640350;318.816742;-69.938156;277.404144
242;428.023682;217.935181;334.400391;344.453033;74.641769;293.558044;321.826172;-69.449127;289.895477
243;427.361267;217.359146;335.023560;346.059784;75.631630;299.321289;325.363373;-68.481796;301.457489
244;426.946747;216.760635;335.505219;347.800964;76.743584;305.019501;329.006592;-67.276398;313.283844
245;426.628143;216.035629;335.864624;349.771545;78.113556;310.177155;332.688019;-65.851219;324.502716
246;426.243256;215.332336;336.442749;351.728516;79.402336;315.099182;336.933472;-64.111519;335.223969
247;426.149597;214.814484;336.679993;353.512177;80.791092;319.658447;341.011810;-62.137188;345.641357
248;425.825867;214.251434;336.908051;355.596802;82.324295;324.078522;345.635956;-59.627506;355.418365
249;425.704224;213.879089;336.950958;357.772644;84.006142;327.998901;350.406158;-56.903706;364.918427
250;425.557556;213.545166;337.142365;360.164337;85.593292;331.837311;355.386017;-53.996796;373.658813
251;425.553802;213.197708;337.227020;362.571411;87.218140;335.384003;360.668610;-50.876064;382.253479
252;425.588593;212.852020;337.289795;365.059357;88.910080;338.809723;365.783173;-47.573883;390.157196
253;425.699799;212.618210;337.281830;367.409485;90.341652;341.742188;370.709839;-44.263313;397.843323
254;425.863190;212.476578;337.296326;370.038788;92.010246;344.450867;375.891174;-40.628719;404.750549
255;426.061615;212.251678;337.297821;372.471100;94.163483;347.263458;380.953583;-36.992451;411.681213
256;426.318329;211.985703;337.138885;374.879364;95.731285;349.671173;385.987427;-33.140484;417.667297
257;426.377533;211.508774;337.166565;377.386749;97.563148;351.856476;391.060638;-29.365427;423.279602
258;426.562225;210.831619;337.153381;379.713196;99.460373;353.952148;395.768982;-25.862185;428.651123
259;426.684418;210.377274;337.085754;382.076416;101.002335;355.745239;400.554443;-22.158674;433.416168
260;426.541992;209.838989;337.239746;384.344147;102.647644;357.393433;405.257660;-18.109922;437.464386
261;426.377869;209.052811;337.354309;386.503571;104.401337;358.931610;409.742676;-14.606908;441.701111
262;426.287811;208.631760;337.679993;388.694153;106.051064;360.345123;414.296875;-10.840759;444.775177
263;426.455444;208.365921;337.797089;390.708618;107.589073;361.714264;418.308136;-7.404879;448.373108
264;426.573730;207.744781;338.085815;392.703735;109.084938;362.874054;422.095306;-4.041999;451.614685
265;426.576080;207.417297;338.329651;394.513824;110.550720;363.994659;426.014099;-0.386846;454.356018
266;426.752014;207.091080;338.741669;396.842560;112.299667;364.841125;429.191864;2.905542;457.073700
267;426.830231;206.780441;339.323883;398.274445;113.599915;366.084229;432.266602;5.598771;459.516052
268;427.099030;206.500168;339.583313;399.782806;114.948692;366.842926;434.847137;8.458724;461.787323
269;427.347778;206.408646;339.789124;401.073059;116.136703;367.678741;437.145416;11.178728;463.698700
270;427.584259;206.201401;339.780396;402.303619;116.972900;368.097015;438.874023;13.558166;465.268188
271;427.641296;206.032913;339.971161;403.103119;117.653137;368.584869;440.210602;15.201569;467.096954
272;427.906311;205.797012;340.074554;403.848663;118.153709;368.914825;441.195709;16.757202;468.261414
273;428.298065;205.630859;340.026855;404.285919;118.406296;369.160004;441.380402;17.845060;469.297791
274;428.698273;205.444794;339.917419;404.592041;118.557945;369.131683;441.672211;18.683414;470.036255
275;429.045349;205.359909;339.740021;404.670898;118.610855;369.128235;441.476288;19.154596;470.487610
