Marta_trial;;;;;;;;;
Date:;29/07/2020;;;;;;;;
Time:;17:12:00;;;;;;;;
Type:;muscu_imu;;;;;;;;
Description:;;;;;;;;;
Notes:;;;;;;;;;
;;;;;;;;;
TRAJECTORIES;;;;;;;;;
100.000000;Hz;;;;;;;;
;R_shoulder1;;;R_elbow2;;;R_wrist3;;
Field #;X;Y;Z;X;Y;Z;X;Y;Z
194;492.132538;214.513336;327.961121;455.836914;146.901474;100.453156;463.811218;131.250366;-57.179581
195;492.080322;214.858505;328.072937;457.273743;147.042969;100.026550;465.764282;131.684753;-57.470207
196;492.109589;215.005447;328.222900;458.712189;146.967422;99.926979;467.070557;131.954269;-57.394306
197;492.212372;214.983444;328.597290;459.849182;146.629486;99.869560;468.257080;131.888657;-57.212769
198;492.511230;214.766449;328.673004;461.155731;146.055969;99.984665;469.199768;131.541336;-56.913273
199;492.668304;214.209641;328.755707;462.456146;145.436401;100.069290;469.800934;131.180695;-56.381344
200;493.143890;213.636002;328.468994;463.272003;144.528580;100.185524;470.317017;131.045486;-56.440224
201;493.522552;213.118118;328.461182;464.088898;143.980133;100.173721;470.711792;131.007858;-56.401108
202;493.602234;212.687393;328.353333;464.647034;143.874054;100.282257;470.981720;131.182556;-56.309872
203;493.758026;212.124069;328.536652;465.090240;144.184021;100.198128;471.191406;131.746017;-56.299202
204;494.156067;212.017365;328.324402;465.403992;144.830917;100.066818;471.260254;132.575119;-56.675610
205;494.455444;211.921448;328.341370;465.501587;145.501373;100.142387;471.498444;133.047379;-56.416416
206;494.919525;212.124588;328.104126;465.515167;146.046448;100.388039;471.652527;133.821747;-56.271080
207;495.385773;212.671326;328.194916;465.670135;146.979523;100.341988;471.725677;134.483490;-56.175732
208;496.019989;213.338623;328.189850;465.877045;147.568375;100.382652;471.944336;135.075241;-56.080254
209;496.533203;214.294678;328.196991;466.063904;147.939590;100.412437;472.134888;135.672165;-55.935616
210;496.671997;215.135269;328.478424;466.390503;148.643707;100.428436;472.147522;136.184128;-55.684044
211;497.006592;215.656433;328.783142;466.558899;149.219437;100.687019;472.096466;136.505966;-55.396843
212;497.499420;216.506760;328.657806;466.296875;149.517136;100.998085;471.994568;136.674820;-55.230354
213;497.748108;216.842316;328.890350;466.007721;149.826035;101.124657;471.842865;136.854218;-54.979233
214;497.745026;216.886337;329.358429;465.701752;150.170456;101.353546;471.547211;136.985779;-54.738602
215;497.861389;217.032364;329.498901;465.137207;150.657837;101.606346;470.953186;137.154846;-54.266159
216;497.738434;217.064560;329.930725;464.474945;150.984558;101.865013;470.378906;137.326111;-54.104877
217;497.307434;216.656265;330.770386;463.379791;151.402435;102.147545;469.504028;137.454590;-54.158260
218;497.119629;216.292389;331.255188;462.249512;151.461029;102.491142;468.438812;137.546539;-53.893806
219;496.997864;215.758514;331.323883;460.407196;151.448502;102.956123;466.936035;137.514099;-53.780434
220;496.494690;215.229111;332.197449;458.884552;151.812210;103.363022;465.144623;137.616150;-53.480507
221;496.068909;214.644440;332.785187;456.706543;151.883972;104.218491;462.737274;137.771698;-53.201260
222;495.673035;213.774841;333.320221;454.231995;151.988266;104.874023;459.724121;137.699768;-52.619427
223;494.868042;212.931458;334.453094;451.398376;152.013962;106.071068;456.294434;137.952072;-52.009693
224;494.390808;211.921127;335.177368;448.364349;151.970276;107.353958;452.034302;138.035690;-51.149410
225;493.478027;211.123093;336.252075;444.569427;151.622040;108.887856;446.691742;138.044769;-49.710232
226;492.584625;210.293259;337.496521;440.675262;151.239670;110.586243;441.040955;138.372955;-48.312222
227;491.303741;209.642715;338.880310;436.195099;150.798294;112.358299;434.228607;138.268265;-46.221180
228;490.045105;208.948822;340.328461;431.004089;149.829437;115.127831;426.518066;138.084061;-43.762936
229;488.020905;208.578873;342.471527;425.534058;148.980560;118.028328;418.114960;138.010254;-40.945339
230;486.457397;208.332443;344.926117;419.188171;148.176178;121.312393;408.284485;137.558777;-37.113178
231;484.342072;208.171478;347.034637;412.197968;147.333466;125.380371;397.558075;137.263931;-33.073723
232;482.227478;208.241806;350.110779;404.521271;146.622665;129.994049;386.106750;136.911575;-28.079744
233;480.196381;208.443588;353.414246;395.981720;146.304642;135.247070;373.418335;136.462921;-22.015032
234;478.118835;208.975540;356.636047;387.169281;146.123444;141.529129;360.095306;136.075653;-15.249517
235;475.711761;209.855011;360.850891;377.458618;146.044083;148.886261;345.990631;135.421951;-7.215693
236;473.590637;211.240631;365.450745;367.430420;146.055740;157.024887;330.936401;134.669205;1.982072
237;471.466888;213.051178;369.963776;357.148376;146.159576;166.009186;315.470825;134.014282;12.301707
238;469.265564;214.758377;375.170410;346.469513;146.350037;176.073410;299.238953;132.990265;24.003389
239;467.068054;217.108459;380.610809;335.719421;146.642609;186.977859;282.892059;132.210846;36.704784
240;465.160095;219.525742;386.429718;324.755066;147.036758;198.903275;265.985504;131.476227;50.981998
241;463.189941;221.966293;392.328339;313.639313;147.674667;211.660339;248.808640;130.982361;66.609726
242;461.166199;224.018478;398.263000;302.767883;148.541687;225.538223;231.639999;130.611816;83.238335
243;459.016296;225.812073;404.702942;291.969666;149.405258;240.093399;214.849823;130.580795;101.118042
244;456.804443;227.464417;411.414856;281.487488;150.421509;255.739777;197.948105;130.600800;120.260765
245;454.303833;228.332611;418.442596;271.355865;151.311356;271.774109;181.679092;131.037292;140.786835
246;451.951996;229.423309;425.552551;261.872559;152.223923;288.538696;166.079285;131.479477;162.071396
247;449.629639;229.648132;433.586395;252.733276;153.149063;306.132050;151.113678;132.198135;184.318283
248;447.076630;229.759384;441.754883;244.429199;153.996948;324.342957;136.877365;133.229996;207.490875
249;444.973480;229.849945;450.249390;237.001099;154.948074;342.700378;123.795486;134.534775;231.200684
250;442.877930;229.804733;458.989532;230.036911;155.941498;361.614899;111.624062;135.901047;255.558548
251;441.367676;229.833328;468.210144;223.976578;156.939941;380.710480;100.774757;137.333267;280.250763
252;439.842896;229.255341;477.692963;218.864182;158.017532;399.983887;90.827026;138.645935;305.361115
253;439.079193;229.165512;486.874817;214.798691;159.245682;419.139069;82.130127;140.331955;330.707977
254;438.433197;229.286255;496.455322;211.298508;160.646866;438.542542;74.488991;142.213837;356.400299
255;438.227417;229.429611;506.032349;208.853043;162.090591;457.800629;68.177856;144.173111;381.563782
256;438.789032;229.722565;514.783569;206.966553;163.620712;476.914429;63.002636;146.477768;406.695190
257;439.641052;230.409302;523.272827;205.913467;165.457153;495.743011;58.593662;148.757919;431.653015
258;440.527008;230.844955;531.864868;205.582520;167.354721;513.933472;55.830654;151.264847;455.970123
259;441.835663;231.674255;539.849731;206.068008;169.266891;531.757935;53.649239;153.762848;480.010620
260;443.359192;232.370224;547.425110;206.855423;171.072113;549.631226;52.700657;156.337646;503.300507
261;445.465363;233.556107;554.515686;208.961578;173.291412;566.220825;52.631031;158.944794;525.845093
262;447.369873;234.457123;561.514832;211.093704;175.715469;582.559692;53.366455;161.478699;547.993286
263;449.653656;235.506409;568.028870;213.687790;177.715836;598.210144;54.653748;163.972336;569.055298
264;451.942444;236.716614;574.377075;216.796371;179.878952;613.020996;56.293579;166.376068;589.549316
265;454.298615;237.849014;580.010193;220.426270;181.969818;627.446167;59.015343;168.883850;609.138367
266;456.687042;238.772202;585.858337;223.987823;183.880997;641.147888;61.891525;171.144485;627.774780
267;459.164001;239.686630;591.291077;227.875046;185.735733;654.033997;65.230843;173.319794;645.412903
268;461.457062;240.369339;596.597656;232.011108;187.578674;666.342529;69.016891;175.534912;662.338684
269;463.876251;240.989853;601.441833;236.202179;189.255814;678.020935;72.656418;177.681885;678.497986
270;466.098236;241.617813;606.254395;240.330276;191.157913;689.147644;76.482498;179.619446;693.991211
271;468.106812;242.045959;610.874268;244.520187;192.740143;699.723083;80.498123;181.612915;708.377625
272;470.491333;242.527008;614.847961;248.722015;194.199890;709.703918;84.756187;183.533432;722.169739
273;472.396362;242.927307;619.144348;252.889893;195.758301;718.880188;88.965965;185.407349;735.400574
274;474.180603;243.260483;622.520996;256.961426;196.918625;727.751587;93.240036;187.055298;747.883362
275;476.092224;243.756653;625.968750;261.096863;198.065140;736.058044;97.557693;188.822342;759.529419
276;477.702972;244.301620;629.233704;265.246521;199.343033;743.873962;101.932831;190.496689;770.395020
277;479.423309;244.577225;632.078247;268.958893;200.247223;751.155334;106.049438;191.972778;780.870422
278;480.885712;244.901962;634.704285;272.849335;201.234406;757.996399;110.053711;193.551346;790.449768
