Marta_trial 2
Date:,2020/07/29
Time:,17:14:48
Type:,muscu_imu
Description:,""
Notes:,""

TRAJECTORIES
100.000000,Hz
,R_shoulder1,,,R_elbow2,,,R_wrist3
Field #,X,Y,Z,X,Y,Z,X,Y,Z
140,437.421753,364.347321,448.375854,231.541534,430.374512,330.433868,129.100357,466.653534,238.616898
141,436.743164,366.053284,455.532471,225.746063,432.932495,350.365448,118.084305,468.611847,268.237427
142,435.618652,367.629303,462.164764,219.694901,433.173950,370.312225,108.031082,468.660919,297.672119
143,433.855225,368.616089,468.815216,213.732178,431.949493,389.551117,98.909081,466.406311,326.777039
144,431.506897,368.856293,475.082672,207.929520,429.435150,408.679016,90.893806,462.409760,355.200317
145,428.838440,368.790436,481.193909,202.581192,425.812256,427.645416,83.755157,456.873230,383.145325
146,426.089661,368.761200,486.836060,197.836441,421.345367,446.176392,77.457649,449.975220,410.185150
147,423.439026,368.214539,492.528015,193.284866,416.061554,464.640533,71.836845,441.581116,436.769775
148,420.338196,367.704224,497.589996,189.218292,410.059418,482.846039,67.035248,432.079224,462.686951
149,417.559143,367.091949,502.284973,185.723877,403.266663,500.589081,62.934669,421.160126,488.103027
150,414.342255,365.993103,506.717346,182.770264,395.614258,517.850525,59.935326,408.840332,512.792542
151,411.567261,364.827454,510.848633,180.355499,387.009033,534.817871,57.429901,395.108307,536.912598
152,408.385925,363.366150,514.848267,178.217575,377.440094,551.139099,56.494793,379.900116,560.157349
153,404.815918,361.632294,518.762817,176.945267,366.839752,567.224426,56.443233,363.328064,583.231018
154,401.440918,359.458679,522.723450,176.030701,355.090302,582.902527,57.633396,345.670654,605.358948
155,397.541992,356.909637,526.843506,175.687241,342.450684,598.115479,60.197392,327.234497,626.414246
156,393.807648,353.807129,531.204834,176.407028,329.016785,612.683655,63.820621,308.175812,646.840637
157,389.931610,350.198181,535.813293,177.857452,314.952850,626.773438,68.403511,288.483673,665.896301
158,385.961761,346.133972,540.669922,180.078491,300.334473,639.698608,74.161766,268.421478,683.645935
159,382.116180,341.622528,545.471924,183.230911,285.263031,652.274780,80.810051,248.145432,700.128479
160,378.579803,336.735046,550.639038,186.869141,270.255432,663.627808,88.448334,227.597183,715.005432
161,375.136963,331.190338,555.840332,191.089874,254.847198,674.146362,96.746643,206.900940,728.872620
162,371.998566,325.394653,560.818542,196.079117,239.776443,683.428467,106.039627,186.145233,740.805542
