Andrii_trial_4
Date:,2020/08/03
Time:,15:38:05
Type:,muscu_imu
Description:,""
Notes:,"Trial3_Improvisation"

TRAJECTORIES
100.000000,Hz
,R_shoulder1,,,R_elbow2,,,R_wrist3
Field #,X,Y,Z,X,Y,Z,X,Y,Z
1170,289.345245,658.482971,352.922913,130.150299,576.729736,204.081161,2.207970,485.830231,84.473244
1171,289.818481,663.904724,355.159424,126.472260,586.697815,207.955353,-5.023814,499.999329,88.434669
1172,290.481934,669.024170,357.333496,122.829353,595.997925,212.420914,-11.612791,513.026917,92.778816
1173,291.102570,673.752502,359.573364,119.789474,604.432800,216.822296,-18.150696,524.361755,98.358826
1174,291.444214,678.058105,362.651794,116.714539,611.973755,221.819763,-24.058620,534.445984,104.503220
1175,292.013336,681.908325,365.101257,113.844284,618.585815,226.950409,-29.483515,542.981873,111.124321
1176,292.124603,685.359558,367.998840,110.987167,624.080139,232.594131,-34.596958,550.158142,118.242928
1177,292.138153,688.371338,371.061920,108.165161,628.821716,238.305023,-39.231167,555.553894,125.885117
1178,292.061218,690.691406,374.223206,105.581238,632.343872,244.192459,-43.483109,559.159424,133.872925
1179,291.710388,692.724365,377.466156,103.220390,634.817505,250.265182,-47.427883,561.020386,142.198196
1180,291.188049,694.286194,380.562592,101.026146,636.017090,256.483246,-50.735886,561.098328,150.492065
1181,290.669830,695.342773,383.784119,98.837212,636.104492,262.858521,-53.562302,559.196716,159.545044
1182,290.022034,696.056641,386.751740,97.044044,635.100159,269.160767,-55.926315,555.934387,168.218811
1183,289.251556,696.194458,390.171204,95.162994,633.099854,275.669647,-57.797688,551.447388,177.138138
1184,288.535736,696.011536,393.287109,93.553627,630.452942,282.012177,-59.520290,545.948303,185.967972
1185,287.942078,695.321167,396.061340,92.152870,626.950134,287.986389,-60.693485,539.406433,194.852219
1186,286.788666,694.070068,399.050385,90.991447,622.867920,293.778015,-61.762020,532.334839,203.842072
1187,286.135223,692.593445,401.600769,89.908310,617.992493,299.563324,-62.465881,524.169434,212.610733
