DeviceTag:,Xsens DOT 5,,,,,,,,,,,,,,,,,
FirmwareVersion:,1.3.0,,,,,,,,,,,,,,,,,
AppVersion:,2020.1.1,,,,,,,,,,,,,,,,,
Measurement Mode:,Inertial Mode - High Fidelity,,,,,,,,,,,,,,,,,
StartTime:,2020-08-04 10:48:43.908 +0200,,,,,,,,,,,,,,,,,
© Xsens Technologies B. V. 2005-2020,,,,,,,,,,,,,,,,,,,
PacketCounter,SampleTimeFine,dQ_W,dQ_X,dQ_Y,dQ_Z,dV[1],dV[2],dV[3],Status
92, 1230986546, 0.9999956408521582, -0.0015026111238982398, 0.002540301155667835, 8.547824387561409E-5, -0.0718655302238376, 0.006387171811035068, 0.1471939589365133, 0
93, 1231003213, 0.9999958221736359, -7.880919924029978E-4, 0.0027697273640178155, 2.5130979738886844E-4, -0.07268131154210486, 0.0057899000129875925, 0.1446147268310799, 0
94, 1231019880, 0.9999950120808453, -5.269385603511867E-4, 0.0031063999796021873, 2.2006442322705655E-4, -0.07301616521577459, 0.0057822617406367155, 0.1427016508700465, 0
95, 1231036547, 0.9999948668411103, -9.114001500457464E-4, 0.0030611995071318236, 2.5435953706122455E-4, -0.07471697688359268, 0.005624090436683892, 0.1422561042089092, 0
96, 1231053214, 0.9999950399846922, -0.0011926850952643647, 0.0029126616564721657, 1.1794215565992527E-4, -0.0771978013463864, 0.005131903590433685, 0.14136691793422412, 0
97, 1231069881, 0.9999945432467185, -0.001363985184192687, 0.003000231328779246, 2.2722935060394414E-4, -0.07533041405993651, 0.004196319165631657, 0.14169797159122172, 0
98, 1231086548, 0.9999946708725342, -0.0014753195367138705, 0.0029099502095568945, 1.1767996617413623E-4, -0.07563535280460033, 0.0030389747286863923, 0.14359318666911658, 0
99, 1231103215, 0.999994906119314, -0.001471014603206429, 0.0028323222371443584, 4.245240326253286E-5, -0.07745285197019659, 0.001874966265122605, 0.14408726460713916, 0
100, 1231119882, 0.9999952283779575, -0.001146564392453489, 0.002868551950548665, 4.595365280885E-6, -0.07923331821523759, 0.0015351044375824987, 0.1422701467911393, 0
101, 1231136549, 0.9999944638390241, -0.001119860368443408, 0.003132654984228045, -6.838718947740909E-5, -0.0788264809406527, 0.001979391269304568, 0.14031656619324948, 0
102, 1231153216, 0.9999934165411996, -0.001836951964586414, 0.003122331602562867, -2.0863149940462955E-4, -0.07989496482304426, 0.0026845700033276045, 0.14336673447177561, 0
103, 1231169883, 0.9999938463719283, -0.0022243683459181735, 0.002702718527316434, -2.3391515543186306E-4, -0.08281796993507407, 0.002577218589762644, 0.14787964125878533, 0
104, 1231186550, 0.9999952238653881, -0.0018647932171335924, 0.0024632733720665882, -8.41246955556596E-5, -0.08678853816849644, 0.0019126295235810135, 0.14797055009439264, 0
105, 1231203217, 0.9999960942343707, -0.0010047596541484932, 0.0026044864424550063, 1.3647128627020114E-4, -0.08653219203642183, 3.8983091924744105E-4, 0.14327282561262272, 0
106, 1231219884, 0.9999954433836407, -8.132914012513107E-4, 0.0029028050442015123, 1.5966191731384138E-4, -0.08497269337207229, -2.874922288626392E-4, 0.13811687004296025, 0
107, 1231236551, 0.9999944248462552, -0.001294297564356256, 0.0030778731317731016, 4.203815807782286E-5, -0.08481394193336969, -0.001116393468503311, 0.13819672544249553, 0
108, 1231253218, 0.9999943466405985, -0.0014251731337098228, 0.0030454975244470777, -2.265414078930772E-5, -0.08761524014721035, -0.001075289550080509, 0.14180086172276835, 0
109, 1231269885, 0.9999950320667423, -5.289394443742379E-4, 0.0030981437240021614, 2.3993825154487727E-4, -0.08973707319071185, -5.587278450458911E-4, 0.14269139526915767, 0
110, 1231286552, 0.9999943738387014, 3.589007822686341E-4, 0.0033112646927588034, 3.987572023027297E-4, -0.08809876435419349, -9.401526752719517E-4, 0.13675554216154054, 0
111, 1231303219, 0.9999944920546315, -6.049427177690775E-5, 0.003310224019565628, 2.3370447760953653E-4, -0.08879537006247717, -0.0013934470745524952, 0.13144480215777415, 0
112, 1231319886, 0.9999946650511992, -8.697988817455288E-4, 0.0031473168750354445, 8.783810946770554E-5, -0.09073714665755607, -8.1796335690776E-4, 0.12915311166077442, 0
113, 1231336553, 0.9999938418673442, -9.080836376849297E-4, 0.0033851043807494874, 1.8077562709283015E-4, -0.09013258502110524, -4.3651919766161864E-4, 0.1287467552343276, 0
114, 1231353220, 0.9999924358733371, -9.204746697506344E-4, 0.0037755575490066866, 1.615168290822061E-4, -0.0889920974540565, -0.002503109032257516, 0.13122490812302548, 0
115, 1231369887, 0.9999922875885486, -0.0016437344768909998, 0.003564496227013187, -1.3140410398837513E-4, -0.09056358087441956, -0.003491077278641447, 0.13732229871401858, 0
116, 1231386554, 0.9999929298976199, -0.0020151603603995594, 0.0031432433559162314, -4.4643555098776433E-4, -0.09389860117225757, -0.0031207347722754207, 0.14292063142924585, 0
117, 1231403221, 0.9999948556122817, -0.0013874939330418695, 0.0028739616189734085, -3.2241924591790155E-4, -0.09661995640409513, -0.0015641325468159339, 0.14041214968001015, 0
118, 1231419888, 0.9999950635921547, -0.0010118296401480167, 0.0029655922334514977, -2.3292661195062347E-4, -0.09291247815994635, -4.766951292513432E-4, 0.13116311561671984, 0
119, 1231436555, 0.9999929189856122, -0.0021253937890192767, 0.0030552292889737547, -5.570043700024037E-4, -0.09454905842866622, -0.002238388509381444, 0.12580621869785247, 0
120, 1231453222, 0.9999888091140118, -0.0036930367608765044, 0.00282470695921272, -8.741606360625209E-4, -0.10017239017877401, -0.0018482349999488284, 0.13121405872362088, 0
121, 1231469889, 0.9999893584228992, -0.003825442569834858, 0.002468028534285155, -7.469037804801183E-4, -0.10334599293052335, -0.0033979149688683425, 0.1379651138790791, 0
122, 1231486556, 0.9999926995869232, -0.0025894674156441352, 0.002783922884593643, -3.810573888780311E-4, -0.10270896660759565, -0.0038379332043755703, 0.13787808877205898, 0
