DeviceTag:,Xsens DOT 4,,,,,,,,,,,,,,,,,
FirmwareVersion:,1.3.0,,,,,,,,,,,,,,,,,
AppVersion:,2020.1.1,,,,,,,,,,,,,,,,,
Measurement Mode:,Inertial Mode - Delta quantities,,,,,,,,,,,,,,,,,
StartTime:,2020-08-20 10:17:14.354 +0200,,,,,,,,,,,,,,,,,
© Xsens Technologies B. V. 2005-2020,,,,,,,,,,,,,,,,,,,
PacketCounter,SampleTimeFine,dQ_W,dQ_X,dQ_Y,dQ_Z,dV[1],dV[2],dV[3]
82, 243580414, 0.9999999403953552, -6.505288183689117E-5, -2.2455863654613495E-4, -1.2069009244441986E-4, 0.012635231018066406, 0.023442387580871582, 0.1612929105758667
83, 243597081, 0.9999998211860657, 6.11904077231884E-4, -1.4850683510303497E-4, 4.481617361307144E-5, 0.013403475284576416, 0.01958489418029785, 0.15854984521865845
84, 243613748, 0.9999997019767761, 7.569128647446632E-4, 4.72264364361763E-5, 5.7241879403591156E-5, 0.015447378158569336, 0.023991167545318604, 0.16020548343658447
85, 243630415, 0.9999999403953552, 2.4721864610910416E-4, -8.083321154117584E-5, -9.336508810520172E-5, 0.013753116130828857, 0.03073209524154663, 0.16381365060806274
86, 243647082, 0.9999999403953552, -1.8954649567604065E-4, -2.035629004240036E-4, -1.6659125685691833E-4, 0.013237059116363525, 0.025201797485351562, 0.16214585304260254
87, 243663749, 0.9999999403953552, 3.3761095255613327E-4, -1.596994698047638E-4, -1.2976862490177155E-4, 0.012809932231903076, 0.019807159900665283, 0.15995532274246216
88, 243680416, 0.9999992251396179, 0.0012608999386429787, -7.294677197933197E-5, -4.6016648411750793E-5, 0.014478981494903564, 0.019369840621948242, 0.16071182489395142
89, 243697083, 0.9999986290931702, 0.0016395328566432, -4.104897379875183E-5, -7.999502122402191E-5, 0.012770593166351318, 0.027583658695220947, 0.16195285320281982
90, 243713750, 0.9999995231628418, 9.329309687018394E-4, -1.2375973165035248E-4, -1.4960207045078278E-4, 0.013095736503601074, 0.03218954801559448, 0.1612950563430786
91, 243730417, 1.0, -3.092736005783081E-5, -1.287125051021576E-4, -1.9143149256706238E-4, 0.012961804866790771, 0.030807554721832275, 0.1603526473045349
92, 243747084, 0.9999998807907104, -4.0336698293685913E-4, -9.85320657491684E-5, -1.6146525740623474E-4, 0.014363408088684082, 0.027054190635681152, 0.1598072648048401
93, 243763751, 0.9999999403953552, -3.075208514928818E-4, -4.449114203453064E-5, -1.3189390301704407E-4, 0.013297975063323975, 0.02661299705505371, 0.1599770188331604
94, 243780418, 1.0, -1.2011639773845673E-4, -6.370432674884796E-5, 3.877375274896622E-5, 0.012393712997436523, 0.026548147201538086, 0.1594504714012146
95, 243797085, 1.0, 3.921333700418472E-5, 3.671180456876755E-5, 1.5991833060979843E-4, 0.013031601905822754, 0.02753615379333496, 0.15878301858901978
96, 243813752, 0.9999999403953552, -2.5502219796180725E-4, 7.803086191415787E-5, 2.5635305792093277E-4, 0.0135117769241333, 0.029714584350585938, 0.15991520881652832
97, 243830419, 0.9999997615814209, -5.734674632549286E-4, 1.674611121416092E-5, 3.5441014915704727E-4, 0.012942910194396973, 0.028959453105926514, 0.1590055227279663
98, 243847086, 0.9999995827674866, -7.695108652114868E-4, 1.273052766919136E-4, 4.336247220635414E-4, 0.01377415657043457, 0.026288211345672607, 0.15861040353775024
99, 243863753, 0.9999995827674866, -7.009059190750122E-4, 1.5436019748449326E-4, 6.142882630228996E-4, 0.012927472591400146, 0.028082191944122314, 0.1604936122894287
100, 243880420, 0.9999995827674866, -4.779081791639328E-4, 7.341895252466202E-5, 7.446864619851112E-4, 0.013202011585235596, 0.02442455291748047, 0.1598932147026062
101, 243897087, 0.9999995827674866, -1.1033937335014343E-4, 1.8493179231882095E-4, 8.892929181456566E-4, 0.013676583766937256, 0.026313960552215576, 0.15916335582733154
102, 243913754, 0.9999996423721313, -2.710781991481781E-4, 2.0536500960588455E-4, 8.057067170739174E-4, 0.013644158840179443, 0.027797579765319824, 0.16191649436950684
103, 243930421, 0.9999996423721313, -5.336925387382507E-4, 1.1606421321630478E-4, 6.424421444535255E-4, 0.013051211833953857, 0.02716892957687378, 0.16337698698043823
104, 243947088, 0.9999997019767761, -5.263630300760269E-4, 3.453996032476425E-5, 5.356734618544579E-4, 0.013384222984313965, 0.02481907606124878, 0.1641443371772766
105, 243963755, 0.9999998807907104, -2.524666488170624E-4, -1.387670636177063E-5, 4.603089764714241E-4, 0.013795554637908936, 0.019223690032958984, 0.163662850856781
106, 243980422, 0.9999999403953552, 3.14527191221714E-4, -1.3982877135276794E-5, 2.5236885994672775E-4, 0.014630317687988281, 0.02219367027282715, 0.16291749477386475
107, 243997089, 0.9999998807907104, 4.713321104645729E-4, -1.650191843509674E-4, 1.0806787759065628E-4, 0.012276530265808105, 0.022215962409973145, 0.163740873336792
108, 244013756, 0.9999998211860657, 5.912957713007927E-4, -1.950729638338089E-4, -2.6572495698928833E-5, 0.014532148838043213, 0.020879089832305908, 0.16358089447021484
109, 244030423, 0.9999998211860657, 5.473056808114052E-4, -2.5866925716400146E-4, -6.613321602344513E-5, 0.014206409454345703, 0.026599586009979248, 0.16430044174194336
110, 244047090, 0.9999998807907104, 2.1666567772626877E-4, -3.432761877775192E-4, -1.4443695545196533E-4, 0.013292133808135986, 0.024002432823181152, 0.16209882497787476
111, 244063757, 0.9999998807907104, 3.0142907053232193E-4, -3.660731017589569E-4, -8.791498839855194E-5, 0.01186978816986084, 0.02252495288848877, 0.1599012017250061
112, 244080424, 0.9999998807907104, 4.5710522681474686E-4, -2.0089000463485718E-4, -1.457706093788147E-5, 0.014396131038665771, 0.02153092622756958, 0.15932899713516235
113, 244097091, 0.9999998807907104, 4.330696538090706E-4, -2.1539628505706787E-4, 7.553305476903915E-5, 0.014312326908111572, 0.026958584785461426, 0.16175532341003418
114, 244113758, 0.9999999403953552, 1.7199385911226273E-4, -2.4208426475524902E-4, 1.4127511531114578E-4, 0.0130043625831604, 0.026368916034698486, 0.15988051891326904
115, 244130425, 0.9999999403953552, 1.947367563843727E-4, -2.4692900478839874E-4, 1.3001542538404465E-4, 0.011997878551483154, 0.02388697862625122, 0.1581992506980896
116, 244147092, 0.9999998807907104, 4.4021662324666977E-4, -1.0139681398868561E-4, 1.3271253556013107E-4, 0.015133678913116455, 0.02273958921432495, 0.1601082682609558
117, 244163759, 0.9999997615814209, 6.445674225687981E-4, -1.2602657079696655E-4, 1.4670100063085556E-4, 0.013781845569610596, 0.027773916721343994, 0.16205841302871704
118, 244180426, 0.9999998807907104, 3.654221072793007E-4, -1.6636960208415985E-4, 2.487720921635628E-4, 0.012848913669586182, 0.028480470180511475, 0.1611487865447998
